Paper Title,Author Names,Author URLs,Conference Name,Conference Year
Tracking with the EM Contour Algorithm.,Arthur E. C. Pece,https://dblp.org/pid/98/3237.html,ECCV,2002
Tracking with the EM Contour Algorithm.,Anthony D. Worrall,https://dblp.org/pid/18/3848.html,ECCV,2002
M2Tracker: A Multi-view Approach to Segmenting and Tracking People in a Cluttered Scene Using Region-Based Stereo.,Anurag Mittal,https://dblp.org/pid/59/6614.html,ECCV,2002
M2Tracker: A Multi-view Approach to Segmenting and Tracking People in a Cluttered Scene Using Region-Based Stereo.,Larry S. Davis,https://dblp.org/pid/d/LarrySDavis.html,ECCV,2002
Analytical Image Models and Their Applications.,Anuj Srivastava,https://dblp.org/pid/32/6819.html,ECCV,2002
Analytical Image Models and Their Applications.,Xiuwen Liu,https://dblp.org/pid/89/3077.html,ECCV,2002
Analytical Image Models and Their Applications.,Ulf Grenander,https://dblp.org/pid/g/UlfGrenander.html,ECCV,2002
Time-Recursive Velocity-Adapted Spatio-Temporal Scale-Space Filters.,Tony Lindeberg,https://dblp.org/pid/33/1119.html,ECCV,2002
Combining Appearance and Topology for Wide Baseline Matching.,Dennis Tell,https://dblp.org/pid/30/3075.html,ECCV,2002
Combining Appearance and Topology for Wide Baseline Matching.,Stefan Carlsson,https://dblp.org/pid/17/709.html,ECCV,2002
Guided Sampling and Consensus for Motion Estimation.,Ben Tordoff,https://dblp.org/pid/23/2619.html,ECCV,2002
Guided Sampling and Consensus for Motion Estimation.,David William Murray,https://dblp.org/pid/60/5939-1.html,ECCV,2002
Fast Anisotropic Gauss Filtering.,Jan-Mark Geusebroek,https://dblp.org/pid/68/2181.html,ECCV,2002
Fast Anisotropic Gauss Filtering.,Arnold W. M. Smeulders,https://dblp.org/pid/15/5400.html,ECCV,2002
Fast Anisotropic Gauss Filtering.,Joost van de Weijer,https://dblp.org/pid/67/3379.html,ECCV,2002
Adaptive Rest Condition Potentials: Second Order Edge-Preserving Regularization.,Mariano Rivera,https://dblp.org/pid/72/501.html,ECCV,2002
Adaptive Rest Condition Potentials: Second Order Edge-Preserving Regularization.,José L. Marroquín,https://dblp.org/pid/18/5283.html,ECCV,2002
An Affine Invariant Interest Point Detector.,Krystian Mikolajczyk,https://dblp.org/pid/96/433.html,ECCV,2002
An Affine Invariant Interest Point Detector.,Cordelia Schmid,https://dblp.org/pid/s/CordeliaSchmid.html,ECCV,2002
Understanding and Modeling the Evolution of Critical Points under Gaussian Blurring.,Arjan Kuijper,https://dblp.org/pid/k/ArjanKuijper.html,ECCV,2002
Understanding and Modeling the Evolution of Critical Points under Gaussian Blurring.,Luc Florack,https://dblp.org/pid/48/1307.html,ECCV,2002
Image Processing Done Right.,Jan J. Koenderink,https://dblp.org/pid/48/5115.html,ECCV,2002
Image Processing Done Right.,Andrea J. van Doorn,https://dblp.org/pid/93/3278.html,ECCV,2002
Multimodal Data Representations with Parameterized Local Structures.,Ying Zhu,https://dblp.org/pid/01/2082.html,ECCV,2002
Multimodal Data Representations with Parameterized Local Structures.,Dorin Comaniciu,https://dblp.org/pid/54/4552.html,ECCV,2002
Multimodal Data Representations with Parameterized Local Structures.,Stuart C. Schwartz,https://dblp.org/pid/36/1175.html,ECCV,2002
Multimodal Data Representations with Parameterized Local Structures.,Visvanathan Ramesh,https://dblp.org/pid/01/4906.html,ECCV,2002
The Relevance of Non-generic Events in Scale Space Models.,Arjan Kuijper,https://dblp.org/pid/k/ArjanKuijper.html,ECCV,2002
The Relevance of Non-generic Events in Scale Space Models.,Luc Florack,https://dblp.org/pid/48/1307.html,ECCV,2002
The Localized Consistency Principle for Image Matching under Non-uniform Illumination Variation and Affine Distortion.,Bing Wang,https://dblp.org/pid/06/1909.html,ECCV,2002
The Localized Consistency Principle for Image Matching under Non-uniform Illumination Variation and Affine Distortion.,Kah Kay Sung,https://dblp.org/pid/91/6575.html,ECCV,2002
The Localized Consistency Principle for Image Matching under Non-uniform Illumination Variation and Affine Distortion.,Teck Khim Ng,https://dblp.org/pid/88/1588.html,ECCV,2002
Resolution Selection Using Generalized Entropies of Multiresolution Histograms.,Efstathios Hadjidemetriou,https://dblp.org/pid/32/4301.html,ECCV,2002
Resolution Selection Using Generalized Entropies of Multiresolution Histograms.,Michael D. Grossberg,https://dblp.org/pid/32/4909.html,ECCV,2002
Resolution Selection Using Generalized Entropies of Multiresolution Histograms.,Shree K. Nayar,https://dblp.org/pid/n/ShreeKNayar.html,ECCV,2002
Robust Computer Vision through Kernel Density Estimation.,Haifeng Chen,https://dblp.org/pid/08/57.html,ECCV,2002
Robust Computer Vision through Kernel Density Estimation.,Peter Meer,https://dblp.org/pid/60/6290.html,ECCV,2002
Constrained Flows of Matrix-Valued Functions: Application to Diffusion Tensor Regularization.,Christophe Chefd'Hotel,https://dblp.org/pid/17/387.html,ECCV,2002
Constrained Flows of Matrix-Valued Functions: Application to Diffusion Tensor Regularization.,David Tschumperlé,https://dblp.org/pid/56/4705.html,ECCV,2002
Constrained Flows of Matrix-Valued Functions: Application to Diffusion Tensor Regularization.,Rachid Deriche,https://dblp.org/pid/07/4284.html,ECCV,2002
Constrained Flows of Matrix-Valued Functions: Application to Diffusion Tensor Regularization.,Olivier D. Faugeras,https://dblp.org/pid/48/4143.html,ECCV,2002
A Hierarchical Framework for Spectral Correspondence.,Marco Carcassoni,https://dblp.org/pid/84/6143.html,ECCV,2002
A Hierarchical Framework for Spectral Correspondence.,Edwin R. Hancock,https://dblp.org/pid/h/EdwinRHancock.html,ECCV,2002
Phase-Based Local Features.,Gustavo Carneiro,https://dblp.org/pid/53/3609.html,ECCV,2002
Phase-Based Local Features.,Allan D. Jepson,https://dblp.org/pid/93/4241.html,ECCV,2002
What Is the Role of Independence for Visual Recognition?,Nuno Vasconcelos,https://dblp.org/pid/78/4806.html,ECCV,2002
What Is the Role of Independence for Visual Recognition?,Gustavo Carneiro,https://dblp.org/pid/53/3609.html,ECCV,2002
A Probabilistic Multi-scale Model for Contour Completion Based on Image Statistics.,Xiaofeng Ren,https://dblp.org/pid/84/3585.html,ECCV,2002
A Probabilistic Multi-scale Model for Contour Completion Based on Image Statistics.,Jitendra Malik,https://dblp.org/pid/58/2944.html,ECCV,2002
Toward a Full Probability Model of Edges in Natural Images.,Kim Steenstrup Pedersen,https://dblp.org/pid/22/3613.html,ECCV,2002
Toward a Full Probability Model of Edges in Natural Images.,Ann B. Lee,https://dblp.org/pid/03/3920.html,ECCV,2002
Fast Difference Schemes for Edge Enhancing Beltrami Flow.,Ravi Malladi,https://dblp.org/pid/98/5040.html,ECCV,2002
Fast Difference Schemes for Edge Enhancing Beltrami Flow.,Igor Ravve,https://dblp.org/pid/04/6994.html,ECCV,2002
A Fast Radial Symmetry Transform for Detecting Points of Interest.,Gareth Loy,https://dblp.org/pid/24/6065.html,ECCV,2002
A Fast Radial Symmetry Transform for Detecting Points of Interest.,Alexander Zelinsky,https://dblp.org/pid/35/1386.html,ECCV,2002
Image Features Based on a New Approach to 2D Rotation Invariant Quadrature Filters.,Michael Felsberg,https://dblp.org/pid/00/78.html,ECCV,2002
Image Features Based on a New Approach to 2D Rotation Invariant Quadrature Filters.,Gerald Sommer,https://dblp.org/pid/57/6794.html,ECCV,2002
Representing Edge Models via Local Principal Component Analysis.,Patrick S. Huggins,https://dblp.org/pid/88/1742.html,ECCV,2002
Representing Edge Models via Local Principal Component Analysis.,Steven W. Zucker,https://dblp.org/pid/40/1041.html,ECCV,2002
Regularized Shock Filters and Complex Diffusion.,Guy Gilboa,https://dblp.org/pid/44/4220.html,ECCV,2002
Regularized Shock Filters and Complex Diffusion.,Nir A. Sochen,https://dblp.org/pid/s/NirASochen.html,ECCV,2002
Regularized Shock Filters and Complex Diffusion.,Yehoshua Y. Zeevi,https://dblp.org/pid/83/2568.html,ECCV,2002
"Multi-view Matching for Unordered Image Sets, or ""How Do I Organize My Holiday Snaps?"".",Frederik Schaffalitzky,https://dblp.org/pid/42/70.html,ECCV,2002
"Multi-view Matching for Unordered Image Sets, or ""How Do I Organize My Holiday Snaps?"".",Andrew Zisserman,https://dblp.org/pid/z/AndrewZisserman.html,ECCV,2002
Parameter Estimates for a Pencil of Lines: Bounds and Estimators.,Gavriel Speyer,https://dblp.org/pid/11/4040.html,ECCV,2002
Parameter Estimates for a Pencil of Lines: Bounds and Estimators.,Michael Werman,https://dblp.org/pid/24/6738.html,ECCV,2002
Multilinear Analysis of Image Ensembles: TensorFaces.,M. Alex O. Vasilescu,https://dblp.org/pid/15/4964.html,ECCV,2002
Multilinear Analysis of Image Ensembles: TensorFaces.,Demetri Terzopoulos,https://dblp.org/pid/85/4738.html,ECCV,2002
'Dynamism of a Dog on a Leash' or Behavior Classification by Eigen-Decomposition of Periodic Motions.,Roman Goldenberg,https://dblp.org/pid/99/3512.html,ECCV,2002
'Dynamism of a Dog on a Leash' or Behavior Classification by Eigen-Decomposition of Periodic Motions.,Ron Kimmel,https://dblp.org/pid/k/RonKimmel.html,ECCV,2002
'Dynamism of a Dog on a Leash' or Behavior Classification by Eigen-Decomposition of Periodic Motions.,Ehud Rivlin,https://dblp.org/pid/32/5978.html,ECCV,2002
'Dynamism of a Dog on a Leash' or Behavior Classification by Eigen-Decomposition of Periodic Motions.,Michael Rudzsky,https://dblp.org/pid/60/6511.html,ECCV,2002
Automatic Detection and Tracking of Human Motion with a View-Based Representation.,Ronan Fablet,https://dblp.org/pid/57/5644.html,ECCV,2002
Automatic Detection and Tracking of Human Motion with a View-Based Representation.,Michael J. Black,https://dblp.org/pid/b/MichaelJBlack.html,ECCV,2002
Using Robust Estimation Algorithms for Tracking Explicit Curves.,Jean-Philippe Tarel,https://dblp.org/pid/27/4360.html,ECCV,2002
Using Robust Estimation Algorithms for Tracking Explicit Curves.,Sio-Song Ieng,https://dblp.org/pid/07/1837.html,ECCV,2002
Using Robust Estimation Algorithms for Tracking Explicit Curves.,Pierre Charbonnier,https://dblp.org/pid/88/3093.html,ECCV,2002
On the Motion and Appearance of Specularities in Image Sequences.,Rahul Swaminathan,https://dblp.org/pid/60/399.html,ECCV,2002
On the Motion and Appearance of Specularities in Image Sequences.,Sing Bing Kang,https://dblp.org/pid/k/SingBingKang.html,ECCV,2002
On the Motion and Appearance of Specularities in Image Sequences.,Richard Szeliski,https://dblp.org/pid/46/2186.html,ECCV,2002
On the Motion and Appearance of Specularities in Image Sequences.,Antonio Criminisi,https://dblp.org/pid/c/AntonioCriminisi.html,ECCV,2002
On the Motion and Appearance of Specularities in Image Sequences.,Shree K. Nayar,https://dblp.org/pid/n/ShreeKNayar.html,ECCV,2002
Multiple Hypothesis Tracking for Automatic Optical Motion Capture.,Maurice Ringer,https://dblp.org/pid/18/6744.html,ECCV,2002
Multiple Hypothesis Tracking for Automatic Optical Motion Capture.,Joan Lasenby,https://dblp.org/pid/62/3833.html,ECCV,2002
Single Axis Geometry by Fitting Conics.,Guang Jiang,https://dblp.org/pid/01/3928.html,ECCV,2002
Single Axis Geometry by Fitting Conics.,Hung-Tat Tsui,https://dblp.org/pid/72/5783.html,ECCV,2002
Single Axis Geometry by Fitting Conics.,Long Quan,https://dblp.org/pid/04/575.html,ECCV,2002
Single Axis Geometry by Fitting Conics.,Andrew Zisserman,https://dblp.org/pid/z/AndrewZisserman.html,ECCV,2002
Computing the Physical Parameters of Rigid-Body Motion from Video.,Kiran S. Bhat,https://dblp.org/pid/15/3087.html,ECCV,2002
Computing the Physical Parameters of Rigid-Body Motion from Video.,Steven M. Seitz,https://dblp.org/pid/s/StevenMSeitz.html,ECCV,2002
Computing the Physical Parameters of Rigid-Body Motion from Video.,Jovan Popovic,https://dblp.org/pid/p/JovanPopovic.html,ECCV,2002
Building Roadmaps of Local Minima of Visual Models.,Cristian Sminchisescu,https://dblp.org/pid/96/3826.html,ECCV,2002
Building Roadmaps of Local Minima of Visual Models.,Bill Triggs,https://dblp.org/pid/49/1622.html,ECCV,2002
A Generative Method for Textured Motion: Analysis and Synthesis.,Yizhou Wang,https://dblp.org/pid/71/3387-1.html,ECCV,2002
A Generative Method for Textured Motion: Analysis and Synthesis.,Song Chun Zhu,https://dblp.org/pid/10/10313.html,ECCV,2002
Is Super-Resolution with Optical Flow Feasible?,Wen-Yi Zhao,https://dblp.org/pid/38/6375.html,ECCV,2002
Is Super-Resolution with Optical Flow Feasible?,Harpreet S. Sawhney,https://dblp.org/pid/86/689.html,ECCV,2002
New View Generation with a Bi-centric Camera.,Daphna Weinshall,https://dblp.org/pid/93/1568.html,ECCV,2002
New View Generation with a Bi-centric Camera.,Mi-Suen Lee,https://dblp.org/pid/99/4123.html,ECCV,2002
New View Generation with a Bi-centric Camera.,Tomás Brodský,https://dblp.org/pid/77/4775.html,ECCV,2002
New View Generation with a Bi-centric Camera.,M. Trajkovic,https://dblp.org/pid/32/5924.html,ECCV,2002
New View Generation with a Bi-centric Camera.,Doron Feldman,https://dblp.org/pid/20/86.html,ECCV,2002
Recognizing and Tracking Human Action.,Josephine Sullivan,https://dblp.org/pid/32/3671.html,ECCV,2002
Recognizing and Tracking Human Action.,Stefan Carlsson,https://dblp.org/pid/17/709.html,ECCV,2002
Towards Improved Observation Models for Visual Tracking: Selective Adaptation.,Jaco Vermaak,https://dblp.org/pid/45/4445.html,ECCV,2002
Towards Improved Observation Models for Visual Tracking: Selective Adaptation.,Patrick Pérez,https://dblp.org/pid/71/1167.html,ECCV,2002
Towards Improved Observation Models for Visual Tracking: Selective Adaptation.,Michel Gangnet,https://dblp.org/pid/77/3327.html,ECCV,2002
Towards Improved Observation Models for Visual Tracking: Selective Adaptation.,Andrew Blake,https://dblp.org/pid/b/AndrewBlake-1.html,ECCV,2002
Color-Based Probabilistic Tracking.,Patrick Pérez,https://dblp.org/pid/71/1167.html,ECCV,2002
Color-Based Probabilistic Tracking.,Carine Hue,https://dblp.org/pid/10/6243.html,ECCV,2002
Color-Based Probabilistic Tracking.,Jaco Vermaak,https://dblp.org/pid/45/4445.html,ECCV,2002
Color-Based Probabilistic Tracking.,Michel Gangnet,https://dblp.org/pid/77/3327.html,ECCV,2002
Dense Motion Analysis in Fluid Imagery.,Thomas Corpetti,https://dblp.org/pid/39/2836.html,ECCV,2002
Dense Motion Analysis in Fluid Imagery.,Étienne Mémin,https://dblp.org/pid/90/2632.html,ECCV,2002
Dense Motion Analysis in Fluid Imagery.,Patrick Pérez,https://dblp.org/pid/71/1167.html,ECCV,2002
A Layered Motion Representation with Occlusion and Compact Spatial Support.,Allan D. Jepson,https://dblp.org/pid/93/4241.html,ECCV,2002
A Layered Motion Representation with Occlusion and Compact Spatial Support.,David J. Fleet,https://dblp.org/pid/07/2099.html,ECCV,2002
A Layered Motion Representation with Occlusion and Compact Spatial Support.,Michael J. Black,https://dblp.org/pid/b/MichaelJBlack.html,ECCV,2002
Incremental Singular Value Decomposition of Uncertain Data with Missing Values.,Matthew Brand,https://dblp.org/pid/49/3829.html,ECCV,2002
Symmetrical Dense Optical Flow Estimation with Occlusions Detection.,Luis Álvarez,https://dblp.org/pid/27/644.html,ECCV,2002
Symmetrical Dense Optical Flow Estimation with Occlusions Detection.,Rachid Deriche,https://dblp.org/pid/07/4284.html,ECCV,2002
Symmetrical Dense Optical Flow Estimation with Occlusions Detection.,Théodore Papadopoulo,https://dblp.org/pid/65/2103.html,ECCV,2002
Symmetrical Dense Optical Flow Estimation with Occlusions Detection.,Javier Sánchez Pérez,https://dblp.org/pid/92/546.html,ECCV,2002
Audio-Video Sensor Fusion with Probabilistic Graphical Models.,Matthew J. Beal,https://dblp.org/pid/95/6103.html,ECCV,2002
Audio-Video Sensor Fusion with Probabilistic Graphical Models.,Hagai Attias,https://dblp.org/pid/a/HTAttias.html,ECCV,2002
Audio-Video Sensor Fusion with Probabilistic Graphical Models.,Nebojsa Jojic,https://dblp.org/pid/20/1944.html,ECCV,2002
Increasing Space-Time Resolution in Video.,Eli Shechtman,https://dblp.org/pid/50/1918.html,ECCV,2002
Increasing Space-Time Resolution in Video.,Yaron Caspi,https://dblp.org/pid/98/4125.html,ECCV,2002
Increasing Space-Time Resolution in Video.,Michal Irani,https://dblp.org/pid/04/3190.html,ECCV,2002
Hyperdynamics Importance Sampling.,Cristian Sminchisescu,https://dblp.org/pid/96/3826.html,ECCV,2002
Hyperdynamics Importance Sampling.,Bill Triggs,https://dblp.org/pid/49/1622.html,ECCV,2002
Implicit Probabilistic Models of Human Motion for Synthesis and Tracking.,Hedvig Sidenbladh,https://dblp.org/pid/k/HedvigKjellstrom.html,ECCV,2002
Implicit Probabilistic Models of Human Motion for Synthesis and Tracking.,Michael J. Black,https://dblp.org/pid/b/MichaelJBlack.html,ECCV,2002
Implicit Probabilistic Models of Human Motion for Synthesis and Tracking.,Leonid Sigal,https://dblp.org/pid/09/4991.html,ECCV,2002
Space-Time Tracking.,Lorenzo Torresani,https://dblp.org/pid/75/2854.html,ECCV,2002
Space-Time Tracking.,Christoph Bregler,https://dblp.org/pid/b/ChristophBregler.html,ECCV,2002
